feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00097	status	colonized	-1.25140729765866	0.485816780464325	98	33	0.0115232892905001	0.0140898400870206
Otu00057	status	colonized	0.836319211069237	0.326449934386627	98	11	0.0119672555174982	0.0145664784353258
Otu00016	status	colonized	1.31423162670648	0.513421654453056	98	13	0.0120353600145161	0.014583386684256
Otu00191	status	colonized	0.606027046662956	0.237805321964212	98	12	0.0124072973850868	0.0149666502089164
Otu00283	status	colonized	0.546009406649072	0.215096003441541	98	10	0.0127430270270397	0.0153030101351504
Otu00071	status	colonized	0.772032050871226	0.306175849007671	98	10	0.0133312006544353	0.015938191004636
Otu00254	status	colonized	0.381334115565525	0.151865391596007	98	10	0.0137096082506712	0.0163180735373034
Otu00173	status	colonized	0.670339961796339	0.270375299312718	98	12	0.0149077833203713	0.017620409520282
Otu00245	status	colonized	0.435446597118379	0.17568199251675	98	14	0.0149347708945141	0.017620409520282
Otu00111	status	colonized	-1.00656385419535	0.407662955377946	98	32	0.0153121497278658	0.0179867610340432
Otu00177	status	colonized	0.379834836089219	0.155895351830967	98	10	0.0166744865744379	0.0195018995153208
Otu00626	status	colonized	0.248687295105612	0.103297395156032	98	10	0.0179740042540389	0.0209307668585994
Otu00341	status	colonized	0.416372847408823	0.17481299945655	98	10	0.0191993507034467	0.0222613161173584
Otu00236	status	colonized	0.261251046755287	0.110006600872107	98	14	0.0195436942905386	0.0225633208762013
Otu00350	status	colonized	0.558117416324274	0.237878833928675	98	10	0.021020911414196	0.0241650648308493
Otu00454	status	colonized	0.305636986717618	0.131740639719923	98	10	0.0224598810776139	0.0257093957867155
Otu00190	status	colonized	-0.805998097642306	0.348489320865379	98	34	0.0228671611227529	0.0260646878899175
Otu00155	status	colonized	-0.719477210998691	0.317195170980587	98	37	0.0255547619467623	0.029005193939574
Otu00229	status	colonized	0.228464161509385	0.101266988106017	98	12	0.0263362771049773	0.0297666325262139
Otu00539	status	colonized	-0.204696499778468	0.0927872081688572	98	10	0.0297634044806424	0.0334993966748653
Otu00065	status	colonized	0.670290357485164	0.30433549643832	98	10	0.0300256849316695	0.0336537885275796
Otu00310	status	colonized	0.582719870172863	0.28085635881703	98	12	0.0406808049550202	0.0454072055307072
Otu00220	status	colonized	-0.433984148519769	0.213388115404454	98	12	0.0447333379782786	0.0497242475874254
Otu00457	status	colonized	-0.235708463119826	0.118368154047558	98	15	0.0492880015594805	0.0545616148950628
Otu00208	status	colonized	0.456657103970185	0.247832083563217	98	17	0.0684726956032717	0.0754883406445905
Otu00003	status	colonized	1.41684384330567	0.781512035227346	98	83	0.0729643800169794	0.0801119111206835
Otu00002	status	colonized	1.5097055121702	0.869800460597195	98	78	0.0858269623956196	0.093851434489519
Otu00025	status	colonized	0.595898830051453	0.364964364946496	98	13	0.105795565284598	0.11521865207108
Otu00168	status	colonized	-0.314632971730691	0.193317124881477	98	18	0.106898528271974	0.115950419778875
Otu00448	status	colonized	0.180169965674209	0.116835005489063	98	16	0.126342008641105	0.136489961142399
Otu00182	status	colonized	-0.276615120218042	0.187837205765508	98	15	0.144121316753091	0.155074536826326
Otu00239	status	colonized	0.175967814430438	0.128099659785285	98	18	0.172740664345503	0.185128441071476
Otu00019	status	colonized	-0.70947094997861	0.52083337135523	98	54	0.176327402245207	0.188222504777622
Otu00150	status	colonized	0.510382734612325	0.4008224590071	98	48	0.205972559741629	0.21899849237351
Otu00391	status	colonized	-0.209626832302381	0.174214727961412	98	14	0.231831973974898	0.245522838579715
Otu00493	status	colonized	-0.152914429722582	0.12752212798104	98	12	0.233432421960394	0.246248319636651
Otu00319	status	colonized	-0.319615049331076	0.275854329659085	98	15	0.249478257512243	0.262147075276537
Otu00240	status	colonized	-0.262690835823053	0.24074661963431	98	15	0.277937637534181	0.290915270415154
Otu00957	status	colonized	0.147383080428304	0.136620913583841	98	11	0.283391578971935	0.295474165672289
