seqID	sampleID	sampleType
d28_2956	d28_2956	mouse
d28_2966	d28_2966	mouse
d28_2988	d28_2988	mouse
d28_3739	d28_3739	mouse
d28_3755	d28_3755	mouse
d28_3765	d28_3765	mouse
d28_3776	d28_3776	mouse
d28_3797	d28_3797	mouse
d28_3827	d28_3827	mouse
d28_3830	d28_3830	mouse
d28_3836	d28_3836	mouse
d28_3844	d28_3844	mouse
d28_4837	d28_4837	mouse
d28_4914	d28_4914	mouse
d28_5925	d28_5925	mouse
d28_5942	d28_5942	mouse
d28_5957	d28_5957	mouse
d28_5964	d28_5964	mouse
d28_5969	d28_5969	mouse
d28_5978	d28_5978	mouse
d29_2904	d29_2904	mouse
d29_2933	d29_2933	mouse
d29_2935	d29_2935	mouse
d29_2949	d29_2949	mouse
d29_2956	d29_2956	mouse
d29_2966	d29_2966	mouse
d29_2988	d29_2988	mouse
d29_3739	d29_3739	mouse
d29_3755	d29_3755	mouse
d29_3765	d29_3765	mouse
d29_3776	d29_3776	mouse
d29_3797	d29_3797	mouse
d29_3827	d29_3827	mouse
d29_3830	d29_3830	mouse
d29_3836	d29_3836	mouse
d29_3844	d29_3844	mouse
d29_4837	d29_4837	mouse
d29_4914	d29_4914	mouse
d29_5925	d29_5925	mouse
d29_5942	d29_5942	mouse
d29_5957	d29_5957	mouse
d29_5964	d29_5964	mouse
d29_5969	d29_5969	mouse
d29_5978	d29_5978	mouse
d31_2904	d31_2904	mouse
d31_2933	d31_2933	mouse
d31_2935	d31_2935	mouse
d31_2949	d31_2949	mouse
d31_2956	d31_2956	mouse
d31_2966	d31_2966	mouse
d31_2988	d31_2988	mouse
d31_3739	d31_3739	mouse
d31_3755	d31_3755	mouse
d31_3765	d31_3765	mouse
d31_3776	d31_3776	mouse
d31_3797	d31_3797	mouse
d31_3827	d31_3827	mouse
d31_3830	d31_3830	mouse
d31_3836	d31_3836	mouse
d31_3844	d31_3844	mouse
d31_4837	d31_4837	mouse
d31_4914	d31_4914	mouse
d31_5925	d31_5925	mouse
d31_5942	d31_5942	mouse
d31_5957	d31_5957	mouse
d31_5964	d31_5964	mouse
d31_5969	d31_5969	mouse
d31_5978	d31_5978	mouse
d32_2904	d32_2904	mouse
d32_2933	d32_2933	mouse
d32_2935	d32_2935	mouse
d32_2949	d32_2949	mouse
d32_2956	d32_2956	mouse
d32_2966	d32_2966	mouse
d32_2988	d32_2988	mouse
d32_3739	d32_3739	mouse
d32_3755	d32_3755	mouse
d32_3765	d32_3765	mouse
d32_3776	d32_3776	mouse
d32_3797	d32_3797	mouse
d32_3827	d32_3827	mouse
d32_3830	d32_3830	mouse
d32_3836	d32_3836	mouse
d32_3844	d32_3844	mouse
d32_4837	d32_4837	mouse
d32_4914	d32_4914	mouse
d32_5925	d32_5925	mouse
d32_5942	d32_5942	mouse
d32_5957	d32_5957	mouse
d32_5964	d32_5964	mouse
d32_5969	d32_5969	mouse
d32_5978	d32_5978	mouse
d34_2904	d34_2904	mouse
d34_2933	d34_2933	mouse
d34_2935	d34_2935	mouse
d34_2949	d34_2949	mouse
d34_2956	d34_2956	mouse
d34_2966	d34_2966	mouse
d34_2988	d34_2988	mouse
d34_3739	d34_3739	mouse
d34_3755	d34_3755	mouse
d34_3765	d34_3765	mouse
d34_3776	d34_3776	mouse
d34_3797	d34_3797	mouse
d34_3827	d34_3827	mouse
d34_3830	d34_3830	mouse
d34_3836	d34_3836	mouse
d34_3844	d34_3844	mouse
d34_4837	d34_4837	mouse
d34_4914	d34_4914	mouse
d34_5925	d34_5925	mouse
d34_5942	d34_5942	mouse
d34_5957	d34_5957	mouse
d34_5964	d34_5964	mouse
d34_5969	d34_5969	mouse
d34_5978	d34_5978	mouse
d35_2904	d35_2904	mouse
d35_2933	d35_2933	mouse
d35_2935	d35_2935	mouse
d35_2949	d35_2949	mouse
d35_2956	d35_2956	mouse
d35_2966	d35_2966	mouse
d35_2988	d35_2988	mouse
d35_3739	d35_3739	mouse
d35_3755	d35_3755	mouse
d35_3765	d35_3765	mouse
d35_3776	d35_3776	mouse
d35_3797	d35_3797	mouse
d35_3827	d35_3827	mouse
d35_3830	d35_3830	mouse
d35_3836	d35_3836	mouse
d35_3844	d35_3844	mouse
d35_4837	d35_4837	mouse
d35_4914	d35_4914	mouse
d35_5925	d35_5925	mouse
d35_5942	d35_5942	mouse
d35_5957	d35_5957	mouse
d35_5964	d35_5964	mouse
d35_5969	d35_5969	mouse
d35_5978	d35_5978	mouse
d36_2904	d36_2904	mouse
d36_2933	d36_2933	mouse
d36_2935	d36_2935	mouse
d36_2949	d36_2949	mouse
d36_2956	d36_2956	mouse
d36_2966	d36_2966	mouse
d36_2988	d36_2988	mouse
d36_3739	d36_3739	mouse
d36_3755	d36_3755	mouse
d36_3765	d36_3765	mouse
d36_3776	d36_3776	mouse
d36_3797	d36_3797	mouse
d36_3827	d36_3827	mouse
d36_3830	d36_3830	mouse
d36_3836	d36_3836	mouse
d36_3844	d36_3844	mouse
d36_4837	d36_4837	mouse
d36_4914	d36_4914	mouse
d36_5925	d36_5925	mouse
d36_5942	d36_5942	mouse
d36_5957	d36_5957	mouse
d36_5964	d36_5964	mouse
d36_5969	d36_5969	mouse
d36_5978	d36_5978	mouse
d37_2904	d37_2904	mouse
d37_2933	d37_2933	mouse
d37_2935	d37_2935	mouse
d37_2949	d37_2949	mouse
d37_2956	d37_2956	mouse
d37_2966	d37_2966	mouse
d37_2988	d37_2988	mouse
d37_3739	d37_3739	mouse
d37_3755	d37_3755	mouse
d37_3765	d37_3765	mouse
