description	category	color
PWY-5897	Cofactor-Biosynthesis	#FF7F50
PWY-5898	Cofactor-Biosynthesis	#FF7F50
PWY-5899	Cofactor-Biosynthesis	#FF7F50
PWY-5850	Cofactor-Biosynthesis	#FF7F50
PWY-5840	Cofactor-Biosynthesis	#FF7F50
PWY-5838	Cofactor-Biosynthesis	#FF7F50
PWY-7992	Cofactor-Biosynthesis	#FF7F50
PWY-5845	Cofactor-Biosynthesis	#FF7F50
PWY0-845	Cofactor-Biosynthesis	#FF7F50
MET-SAM-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-6612	Cofactor-Biosynthesis	#FF7F50
FOLSYN-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-6895	Cofactor-Biosynthesis	#FF7F50
THISYNARA-PWY	Cofactor-Biosynthesis	#FF7F50
UBISYN-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-7357	Cofactor-Biosynthesis	#FF7F50
PWY-6897	Cofactor-Biosynthesis	#FF7F50
HEME-BIOSYNTHESIS-II	Cofactor-Biosynthesis	#FF7F50
HEMESYN2-PWY	Cofactor-Biosynthesis	#FF7F50
HEME-BIOSYNTHESIS-II-1	Cofactor-Biosynthesis	#FF7F50
PWY-5918	Cofactor-Biosynthesis	#FF7F50
PWY-5920	Cofactor-Biosynthesis	#FF7F50
PWY0-1415	Cofactor-Biosynthesis	#FF7F50
PWY-6147	Cofactor-Biosynthesis	#FF7F50
GLYCOL-GLYOXDEG-PWY	Energy-Metabolism	#2F4F4F
PWY-5494	Energy-Metabolism	#2F4F4F
PWY-8086	Energy-Metabolism	#2F4F4F
PWY-7385	Energy-Metabolism	#2F4F4F
P161-PWY	Energy-Metabolism	#2F4F4F
PWY-3781	Energy-Metabolism	#2F4F4F
PWY-7279	Energy-Metabolism	#2F4F4F
PWY-7383	Energy-Metabolism	#2F4F4F
PWY-7115	Energy-Metabolism	#2F4F4F
PWY-241	Energy-Metabolism	#2F4F4F
PWY-7117	Energy-Metabolism	#2F4F4F
GLYCOLYSIS	Energy-Metabolism	#2F4F4F
PWY-5484	Energy-Metabolism	#2F4F4F
ANAGLYCOLYSIS-PWY	Energy-Metabolism	#2F4F4F
PWY-1042	Energy-Metabolism	#2F4F4F
GLYOXYLATE-BYPASS	Energy-Metabolism	#2F4F4F
P122-PWY	Energy-Metabolism	#2F4F4F
PWY-6876	Energy-Metabolism	#2F4F4F
PWY66-367	Energy-Metabolism	#2F4F4F
PWY-5913	Energy-Metabolism	#2F4F4F
NONOXIPENT-PWY	Energy-Metabolism	#2F4F4F
PWY-8178	Energy-Metabolism	#2F4F4F
PWY-6588	Energy-Metabolism	#2F4F4F
CENTFERM-PWY	Energy-Metabolism	#2F4F4F
PWY-6583	Energy-Metabolism	#2F4F4F
PWY-6883	Energy-Metabolism	#2F4F4F
PWY-6863	Energy-Metabolism	#2F4F4F
PWY-7111	Energy-Metabolism	#2F4F4F
P108-PWY	Energy-Metabolism	#2F4F4F
PWY-5723	Energy-Metabolism	#2F4F4F
PWY-5677	Energy-Metabolism	#2F4F4F
TCA	Energy-Metabolism	#2F4F4F
PWY-5690	Energy-Metabolism	#2F4F4F
PWY66-398	Energy-Metabolism	#2F4F4F
P105-PWY	Energy-Metabolism	#2F4F4F
REDCITCYC	Energy-Metabolism	#2F4F4F
PWY-7254	Energy-Metabolism	#2F4F4F
METH-ACETATE-PWY	Energy-Metabolism	#2F4F4F
PWY-7013	Energy-Metabolism	#2F4F4F
P461-PWY	Energy-Metabolism	#2F4F4F
PWY-5676	Energy-Metabolism	#2F4F4F
PWY-7384	Energy-Metabolism	#2F4F4F
PWY-7003	Energy-Metabolism	#2F4F4F
ANAEROFRUCAT-PWY	Energy-Metabolism	#2F4F4F
FERMENTATION-PWY	Energy-Metabolism	#2F4F4F
PENTOSE-P-PWY	Energy-Metabolism	#2F4F4F
P41-PWY	Energy-Metabolism	#2F4F4F
PWY-5100	Energy-Metabolism	#2F4F4F
PWY-7389	Energy-Metabolism	#2F4F4F
PWY-6604	Energy-Metabolism	#2F4F4F
PWY-6590	Energy-Metabolism	#2F4F4F
PWY-6594	Energy-Metabolism	#2F4F4F
PWY-5464	Energy-Metabolism	#2F4F4F
PWY4LZ-257	Energy-Metabolism	#2F4F4F
GLYCOLYSIS-E-D	Energy-Metabolism	#2F4F4F
GLYCOLYSIS-TCA-GLYOX-BYPASS	Energy-Metabolism	#2F4F4F
PWY-561	Energy-Metabolism	#2F4F4F
TCA-GLYOX-BYPASS	Energy-Metabolism	#2F4F4F
RUMP-PWY	Energy-Metabolism	#2F4F4F
PWY-6969	Energy-Metabolism	#2F4F4F
P124-PWY	Energy-Metabolism	#2F4F4F
PWY-8004	Energy-Metabolism	#2F4F4F
PWY-7401	Energy-Metabolism	#2F4F4F
DENITRIFICATION-PWY	Energy-Metabolism	#2F4F4F
PWY-7340	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY66-388	Fatty-Acid-and-Lipid-Degradation	#FFD700
FAO-PWY	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-5136	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-5138	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY66-391	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY0-1337	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-7783	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-6948	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-7754	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-8134	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY-6518	Fatty-Acid-and-Lipid-Degradation	#FFD700
PWY0-862	Lipid-Biosynthesis	#F9C541
PWY-7858	Lipid-Biosynthesis	#F9C541
PWY-8173	Lipid-Biosynthesis	#F9C541
PWY-5667	Lipid-Biosynthesis	#F9C541
PWY0-1319	Lipid-Biosynthesis	#F9C541
PWY-5981	Lipid-Biosynthesis	#F9C541
PWY-5973	Lipid-Biosynthesis	#F9C541
PWY-8175	Lipid-Biosynthesis	#F9C541
PWY66-429	Lipid-Biosynthesis	#F9C541
FASYN-ELONG-PWY	Lipid-Biosynthesis	#F9C541
PWY-7094	Lipid-Biosynthesis	#F9C541
PWY-7663	Lipid-Biosynthesis	#F9C541
PWY-7388	Lipid-Biosynthesis	#F9C541
PWY-8174	Lipid-Biosynthesis	#F9C541
PWY-7664	Lipid-Biosynthesis	#F9C541
PWY-5994	Lipid-Biosynthesis	#F9C541
PWY-5971	Lipid-Biosynthesis	#F9C541
PWY-6282	Lipid-Biosynthesis	#F9C541
PWY-5367	Lipid-Biosynthesis	#F9C541
PWY-7039	Lipid-Biosynthesis	#F9C541
PWY-6803	Lipid-Biosynthesis	#F9C541
PWY-7409	Lipid-Biosynthesis	#F9C541
PWY-5972	Lipid-Biosynthesis	#F9C541
PWY-5989	Lipid-Biosynthesis	#F9C541
PWY66-430	Lipid-Biosynthesis	#F9C541
PWY4FS-7	Lipid-Biosynthesis	#F9C541
PWY4FS-8	Lipid-Biosynthesis	#F9C541
